mov_basename,date_time,num_frames,duration,file_size
CAMHDA301-20190202T210000,2019-02-02T21:00:00,26908,897.830289408,16358140619
CAMHDA301-20190202T211500,2019-02-02T21:15:00,27111,904.603697152,17323930823
CAMHDA301-20190202T213000,2019-02-02T21:30:00,26838,895.494586368,17013068887
CAMHDA301-20190202T214500,2019-02-02T21:45:00,26953,899.331719168,17437683359
CAMHDA301-20190202T220000,2019-02-02T22:00:00,27096,904.10319872,17612044167
CAMHDA301-20190202T221500,2019-02-02T22:15:00,26865,896.395444224,17393259127
CAMHDA301-20190202T223000,2019-02-02T22:30:00,26984,900.366139392,17533956355
CAMHDA301-20190202T224500,2019-02-02T22:45:00,27097,904.136491008,17583005439
CAMHDA301-20190202T230000,2019-02-02T23:00:00,26830,895.22765824,17444053307
CAMHDA301-20190202T231500,2019-02-02T23:15:00,26962,899.632070656,17576585979
CAMHDA301-20190202T233000,2019-02-02T23:30:00,27009,901.200216064,17508529335
CAMHDA301-20190202T234500,2019-02-02T23:45:00,26946,899.0982144,17515756775
CAMHDA301-20190203T000000,2019-02-03T00:00:00,26989,900.532928512,17450347439
CAMHDA301-20190203T001500,2019-02-03T00:15:00,27126,905.104195584,17491856615
CAMHDA301-20190203T003000,2019-02-03T00:30:00,26797,894.126522368,17325781807
CAMHDA301-20190203T004500,2019-02-03T00:45:00,26995,900.733140992,17421217135
CAMHDA301-20190203T010000,2019-02-03T01:00:00,26962,899.632070656,17475496827
CAMHDA301-20190203T011500,2019-02-03T01:15:00,26962,899.632070656,17207445467
CAMHDA301-20190203T013000,2019-02-03T01:30:00,27001,900.933287936,17632453711
CAMHDA301-20190203T014500,2019-02-03T01:45:00,26949,899.198287872,17362144711
CAMHDA301-20190203T020000,2019-02-03T02:00:00,27132,905.304342528,17436267431
CAMHDA301-20190203T021500,2019-02-03T02:15:00,26822,894.960730112,17304096595
CAMHDA301-20190203T023000,2019-02-03T02:30:00,26978,900.165926912,17378022867
CAMHDA301-20190203T024500,2019-02-03T02:45:00,27094,904.036483072,17648626459
CAMHDA301-20190203T030000,2019-02-03T03:00:00,26866,896.428867584,17383628043
